,FOOD NAME,GROUP
0,Angelica,Herbs and Spices
1,Savoy cabbage,Vegetables
2,Silver linden,Herbs and Spices
3,Kiwi,Fruits
4,Allium (Onion),Vegetables
5,Garden onion,Vegetables
6,Leek,Vegetables
7,Garlic,Herbs and Spices
8,Chives,Herbs and Spices
9,Lemon verbena,Herbs and Spices
10,Cashew nut,Nuts
11,Pineapple,Fruits
12,Dill,Herbs and Spices
13,Custard apple,Fruits
14,Wild celery,Herbs and Spices
15,Peanut,Nuts
16,Burdock,Vegetables
17,Horseradish,Herbs and Spices
18,Tarragon,Herbs and Spices
19,Mugwort,Herbs and Spices
20,Asparagus,Vegetables
21,Oat,Cereals and cereal products
22,Star fruit,Fruits
23,Brazil nut,Nuts
24,Common beet,Vegetables
25,Borage,Herbs and Spices
26,Chinese mustard,Vegetables
27,Swede,Vegetables
28,Rape,Vegetables
29,Common cabbage,Vegetables
30,Cauliflower,Vegetables
31,Brussel sprouts,Vegetables
32,Kohlrabi,Vegetables
33,Broccoli,Vegetables
34,Chinese cabbage,Vegetables
35,Turnip,Herbs and Spices
36,Pigeon pea,Pulses
37,Tea,Teas
38,Capers,Herbs and Spices
39,Pepper (C. annuum),Vegetables
40,Papaya,Fruits
41,Safflower,Herbs and Spices
42,Caraway,Herbs and Spices
43,Pecan nut,Nuts
44,Chestnut,Nuts
45,Roman camomile,Herbs and Spices
46,Chickpea,Pulses
47,Endive,Vegetables
48,Chicory,Vegetables
49,Chinese cinnamon,Herbs and Spices
50,Ceylon cinnamon,Herbs and Spices
51,Watermelon,Gourds
52,Lime,Fruits
53,Lemon,Fruits
54,Pummelo,Fruits
55,"Mandarin orange (Clementine, Tangerine)",Fruits
56,Sweet orange,Fruits
57,Coffee,Coffee and coffee products
58,Arabica coffee,Coffee and coffee products
59,Robusta coffee,Coffee and coffee products
60,Coriander,Herbs and Spices
61,Common hazelnut,Nuts
62,Saffron,Herbs and Spices
63,Muskmelon,Gourds
64,Cucumber,Gourds
65,Cucurbita (Gourd),Gourds
66,Cumin,Herbs and Spices
67,Turmeric,Herbs and Spices
68,Quince,Fruits
69,Lemon grass,Herbs and Spices
70,Globe artichoke,Vegetables
71,Wild carrot,Vegetables
72,Japanese persimmon,Fruits
73,Cardamom,Herbs and Spices
74,Black crowberry,Fruits
75,Loquat,Fruits
76,Rocket salad (ssp.),Vegetables
77,Wax apple,Fruits
78,Common buckwheat,Cereals and cereal products
79,Tartary buckwheat,Cereals and cereal products
80,Fig,Fruits
